Name,Units,Min,Max,Description
pr,"mm, daily total",0*,690.44*,Precipitation amount
rmax,%,1.05*,100*,Maximum relative humidity
rmin,%,0*,100*,Minimum relative humidity
sph,kg/kg,0*,0.02*,Specific humididy
srad,W/m^2,0*,455.61*,Surface downward shortwave radiation
th,Degrees clockwise from North,,,Wind direction
tmmn,K,225.54*,314.88*,Minimum temperature
tmmx,K,233.08*,327.14*,Maximum temperature
vs,m/s,0.14*,29.13*,Wind velocity at 10m
erc,NFDRS fire danger index,0*,131.85*,Energy release component
eto,"grass, mm",0*,17.27*,Daily reference evapotranspiration
bi,NFDRS fire danger index,0*,214.2*,Burning index
fm100,%,0.28*,33.2*,100-hour dead fuel moisture
fm1000,%,0.36*,47.52*,1000-hour dead fuel moisture
etr,"Alfalfa, mm",0*,27.02*,Daily reference evapotranspiration
vpd,kPa,0*,9.83*,Mean vapor pressure deficit
,,,,
